date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,view,condition,grade,yr_built
2014-10-27,555000.0,3,2.0,1980,3478,1.5,0,4,7,1929
2014-12-12,699950.0,3,2.25,2190,107593,2.0,0,4,8,1983
2014-10-07,1088000.0,3,2.5,2920,8113,2.0,0,3,8,1950
2014-09-24,290000.0,3,1.0,1210,33919,1.0,0,3,7,1954
2015-04-02,375000.0,3,2.5,2340,10005,1.0,0,4,8,1978
2014-05-23,460000.0,3,1.0,1670,4005,1.5,0,4,7,1939
2014-07-23,188500.0,2,1.75,1240,2493,1.0,0,4,8,1985
2015-03-05,680000.0,4,2.5,3140,28037,2.0,0,4,10,1991
2014-08-27,470000.0,5,1.75,2030,12342,2.0,0,4,7,1942
2014-07-25,597750.0,4,2.5,2310,9624,2.0,0,3,8,1984
2015-03-04,570000.0,3,1.75,1260,3328,1.0,0,5,6,1905
2014-09-16,272500.0,3,1.75,1540,12600,1.0,0,4,7,1980
2014-11-24,329950.0,3,1.75,2080,5969,1.0,2,3,7,1971
2014-10-28,480000.0,4,2.5,3230,16171,2.0,3,3,9,2001
2014-11-21,740500.0,3,3.5,4380,6350,2.0,0,3,8,1900
2014-06-26,518500.0,3,3.5,1590,1102,3.0,0,3,8,2010
2014-06-23,205425.0,2,1.0,880,6780,1.0,0,4,6,1945
2015-01-08,171800.0,4,2.0,1570,9600,1.0,0,3,6,1950
2015-05-11,535000.0,4,1.0,1610,2982,1.5,0,4,7,1925
2015-01-02,660000.0,3,2.5,2400,6474,1.0,2,3,8,1964
2014-11-19,391500.0,3,2.0,1450,9132,1.0,0,3,7,1987
2015-04-06,395000.0,2,1.0,770,6000,1.0,0,3,6,1953
2014-11-04,445000.0,4,1.75,2100,4400,1.5,0,5,7,1924
2014-06-18,770000.0,3,2.25,2910,10204,2.0,0,3,9,1990
2015-03-02,1450000.0,4,2.75,2750,17789,1.5,0,3,8,1914
2014-07-17,445000.0,3,2.25,2100,8201,1.0,2,3,8,1967
2014-07-17,260000.0,4,2.25,2160,8811,1.0,0,3,8,1978
2014-06-13,822500.0,5,3.5,2320,4960,2.0,0,5,7,1926
2015-04-06,430000.0,4,2.5,2070,4310,2.0,0,3,7,2004
2015-01-05,212000.0,3,1.75,1060,7875,1.0,0,4,7,1986
2015-04-28,660500.0,4,2.25,2010,9603,1.0,0,3,8,1986
2014-06-12,784000.0,3,3.5,3950,111078,1.5,0,3,9,1989
2014-05-12,453246.0,3,2.5,2010,2287,2.0,0,3,8,2014
2015-01-26,675000.0,4,3.5,2140,2278,3.0,0,3,9,2005
2014-08-13,199000.0,3,1.75,1320,17390,1.0,0,4,7,1956
2014-08-05,220000.0,4,1.75,2020,7840,1.0,0,3,7,1968
2014-05-29,452000.0,4,2.25,2590,10002,1.0,0,4,8,1968
2014-07-07,382500.0,2,1.0,1190,4440,1.0,0,3,6,1981
2014-05-07,519950.0,3,2.25,1170,1249,3.0,0,3,8,2014
2014-06-27,665000.0,2,1.0,1110,3200,1.0,0,3,7,1925
2014-07-08,527700.0,5,2.5,2820,9375,1.0,0,4,8,1968
2015-05-08,205000.0,3,1.0,1610,8579,1.0,0,4,7,1962
2015-04-15,420000.0,3,1.0,1060,8097,1.0,0,4,7,1923
2015-02-27,500000.0,4,2.25,2030,8517,1.0,0,4,8,1961
2014-12-03,921500.0,4,2.5,3670,315374,2.0,0,4,9,1994
2014-06-25,890000.0,4,1.0,2550,4000,2.0,0,3,8,1905
2014-08-06,430000.0,2,2.5,2420,60984,2.0,0,3,7,2007
2014-10-30,258000.0,5,2.0,2260,12500,1.0,0,4,8,1960
2014-11-04,511000.0,3,1.0,1430,3455,1.0,0,3,7,1947
2014-08-20,532170.0,3,2.0,1360,3090,2.0,0,3,8,1990
2015-04-09,560000.0,3,1.0,1110,5000,1.5,0,3,7,1947
2015-03-31,282950.0,3,1.0,1250,8200,1.0,0,4,7,1954
2015-04-01,2250000.0,4,3.25,5180,19850,2.0,3,3,12,2006
2014-05-16,350000.0,1,1.0,700,5100,1.0,0,3,7,1942
2014-07-28,215000.0,3,1.0,1180,7669,1.0,0,4,7,1967
2014-11-20,650000.0,5,3.5,3960,25245,2.0,0,3,9,1996
2014-08-07,320000.0,4,2.75,2640,7500,1.0,0,3,8,1967
2014-11-13,247000.0,3,2.0,1270,7198,1.5,0,3,7,1916
2014-10-03,320000.0,4,1.75,1760,11180,1.0,0,4,8,1968
2014-05-07,255000.0,5,2.25,2060,8632,1.0,0,3,7,1962
2015-03-09,438000.0,3,1.75,1780,9660,1.0,0,3,7,1962
2015-03-04,900000.0,3,2.5,3400,16603,2.0,0,3,10,2000
2014-06-20,441000.0,3,2.75,1910,7280,1.0,0,3,7,1979
2014-08-12,420000.0,3,2.0,2020,38332,1.0,0,4,7,1975
2014-12-08,370000.0,3,1.75,1580,7000,1.0,0,3,7,1976
2015-02-19,269950.0,2,1.75,1340,7250,1.0,0,5,5,1949
2015-03-24,807100.0,4,2.5,2680,4499,2.0,0,3,9,1999
2014-06-05,653000.0,3,2.5,2680,9750,1.0,0,4,8,1979
2014-06-11,371500.0,3,2.0,1370,8336,1.0,0,5,7,1964
2015-03-16,284000.0,3,1.75,1560,21000,1.0,0,3,7,1954
2015-01-02,272000.0,3,1.75,2160,7140,1.0,0,4,7,1978
2014-05-02,313000.0,3,1.5,1340,7912,1.5,0,3,7,1955
2015-01-16,917500.0,4,2.5,3880,35003,2.0,0,3,10,1984
2014-09-29,673000.0,4,2.25,2590,8190,2.0,0,4,8,1980
2015-02-10,425000.0,3,2.5,1120,1100,2.0,0,3,8,2008
2014-07-09,399950.0,5,2.75,1970,5400,1.0,0,3,7,1986
2014-05-30,385000.0,3,1.0,1220,4800,1.0,0,3,6,1901
2014-11-17,269950.0,3,1.5,1950,7560,1.0,2,4,7,1975
2015-01-07,330000.0,2,1.0,1350,8220,1.0,0,3,7,1949
2014-07-25,260000.0,3,2.5,1670,5797,2.0,0,3,7,1988
2015-04-14,470000.0,4,3.0,2380,5125,1.5,0,4,7,1925
2014-06-13,589000.0,4,3.0,2440,9600,2.0,0,5,7,1961
2014-07-23,163500.0,2,1.5,1050,3419,2.0,0,3,7,1996
2014-09-05,835000.0,4,2.75,3130,13412,2.0,0,3,9,1993
2014-11-21,1095000.0,5,3.0,4090,12850,1.0,2,4,10,1986
2015-04-15,269000.0,4,1.75,1490,10000,1.0,0,4,8,1969
2014-05-05,560000.0,3,2.5,1900,8744,2.0,0,3,8,1987
2015-04-18,615000.0,4,1.0,1330,2400,1.5,0,4,6,1901
2014-12-05,585188.0,3,2.25,2230,10026,1.0,0,3,8,1975
2014-08-18,305000.0,3,1.75,1650,9480,1.0,0,3,7,1977
2014-11-05,166950.0,3,1.0,1190,8820,1.0,0,3,6,1959
2014-09-12,799000.0,3,2.5,2140,9897,1.0,0,4,8,1959
2014-06-25,400000.0,3,2.5,2180,7508,1.0,0,4,7,1962
2014-12-01,230000.0,3,1.0,1060,10228,1.0,0,3,7,1948
2014-05-15,256883.0,3,2.5,1690,5025,2.0,0,3,8,2003
2014-11-11,423000.0,4,2.0,1970,6480,1.5,0,5,7,1920
2014-07-23,465000.0,3,2.5,2150,4084,2.0,0,3,8,2007
2015-01-13,440000.0,3,2.5,1910,66211,2.0,0,3,7,1997
2014-10-14,385000.0,3,1.75,1350,155073,1.0,0,4,7,1969
2015-03-11,210000.0,3,1.0,860,11725,1.0,0,4,6,1943
2014-11-12,297000.0,3,2.5,1940,14952,2.0,0,3,8,1994
2014-07-16,470000.0,3,1.0,1010,5000,1.0,0,3,7,1952
2014-08-04,226500.0,3,1.5,1300,7370,1.0,0,4,7,1976
2015-03-03,274250.0,3,1.0,910,8450,1.0,0,4,6,1962
2014-08-04,840000.0,4,1.75,2480,11010,1.0,0,4,9,1966
2014-09-19,677900.0,3,2.5,2440,4587,2.0,0,3,8,2010
2015-02-05,425000.0,3,1.0,1010,5864,1.0,0,3,7,1915
2014-11-23,180250.0,2,0.75,900,9600,1.0,0,3,6,1941
2014-07-17,464000.0,6,3.0,2300,3404,2.0,0,3,7,1920
2015-04-22,320000.0,4,2.25,1550,7579,2.0,0,3,8,1993
2014-07-17,625504.0,3,2.25,1270,1566,2.0,0,3,8,2014
2014-05-15,592500.0,4,2.5,2240,12032,1.0,0,3,9,1983
2015-01-14,465000.0,3,2.5,2714,17936,2.0,0,3,9,2005
2014-05-27,477000.0,4,2.75,1720,6270,2.0,0,3,8,1978
2015-01-15,280000.0,2,1.0,850,16400,1.0,0,3,6,1923
2015-02-21,1505000.0,5,3.0,3300,33474,1.0,3,3,9,1957
2014-07-03,445838.0,3,2.5,2250,5692,2.0,0,3,8,2000
2014-08-28,1072000.0,2,2.25,3900,14864,1.0,3,3,8,1947
2014-10-23,467000.0,2,1.5,1320,10800,1.0,0,4,8,1947
2014-08-22,686000.0,4,2.5,2760,6440,2.0,0,3,10,1999
2014-06-05,279950.0,3,2.0,1750,9750,1.0,0,3,7,1961
2014-09-04,527000.0,4,2.25,2330,19436,2.0,0,3,8,1987
2014-09-18,325000.0,3,2.25,2220,16020,1.0,0,4,8,1966
2014-09-03,328000.0,3,2.25,2020,8379,2.0,0,3,7,1994
2014-06-04,390000.0,3,2.25,1250,7500,1.0,0,5,7,1942
2015-03-09,479950.0,2,2.0,1510,6516,1.0,0,3,8,2005
2014-05-29,264950.0,4,2.25,1720,9753,1.0,0,4,7,1978
2015-01-15,235000.0,3,1.0,1430,15246,1.0,0,4,7,1961
2015-03-03,516500.0,3,2.5,1480,4729,2.0,0,3,7,2004
2014-06-16,500000.0,4,2.75,2280,15347,1.0,0,5,7,1960
2014-11-21,315000.0,6,2.75,2940,7350,1.0,0,3,8,1978
2014-11-20,213000.0,2,1.0,1000,10200,1.0,0,3,6,1961
2014-09-02,475000.0,3,1.5,2480,5280,1.5,0,5,7,1947
2014-06-10,1025000.0,5,4.0,3760,28040,2.0,0,3,10,1983
2015-04-09,416000.0,3,2.0,2220,94300,1.0,0,5,7,1976
2015-03-20,410000.0,4,1.0,1970,4740,1.5,0,3,7,1904
2014-07-01,800000.0,3,3.5,3830,221284,2.0,0,3,10,1993
2014-05-29,472000.0,6,2.5,4410,14034,1.0,2,4,9,1965
2014-12-08,225000.0,3,1.75,1430,8505,1.0,0,4,7,1968
2014-10-01,210000.0,2,1.0,830,6000,1.0,0,3,6,1940
2015-01-27,455000.0,2,1.0,1430,5000,1.5,0,2,7,1925
2015-04-27,225000.0,3,1.0,1300,8316,1.0,0,4,6,1954
2014-08-26,480000.0,2,1.0,1030,3060,1.0,2,4,7,1918
2015-02-12,363000.0,3,2.5,2740,11872,2.0,0,3,9,1990
2015-02-26,181000.0,2,1.5,720,5120,1.0,0,3,6,1954
2015-03-14,250000.0,4,2.0,2010,7312,1.0,0,4,7,1976
2015-04-22,481000.0,3,1.75,1560,3000,1.0,0,4,6,1918
2014-09-23,260000.0,3,2.0,1810,7209,1.0,0,4,7,1978
2014-05-13,455000.0,4,2.5,3360,7685,2.0,0,3,9,2001
2015-04-01,415000.0,3,2.25,1510,36224,2.0,0,3,8,1991
2015-04-21,349500.0,3,1.0,1400,3538,1.0,0,3,7,1953
2014-09-29,245000.0,3,2.5,1730,7442,2.0,0,3,7,1987
2014-05-19,592500.0,2,2.0,1420,9191,1.5,2,5,7,1928
2014-10-20,385000.0,4,1.75,2360,7620,1.0,0,4,7,1955
2015-02-11,315000.0,3,1.75,1580,11455,1.0,0,4,7,1974
2014-11-24,255000.0,3,1.0,1230,10170,1.0,0,3,7,1979
2014-08-29,693000.0,4,2.5,2460,4425,2.0,0,3,8,2006
2014-12-02,780000.0,3,1.0,1660,4400,1.5,0,3,8,1911
2014-10-24,237000.0,3,1.75,1270,8470,1.0,0,4,7,1960
2014-12-16,525000.0,3,2.25,2100,40510,2.0,0,3,10,1979
2015-04-28,425000.0,2,1.0,770,5040,1.0,0,3,5,1930
2014-05-19,290000.0,4,2.5,1700,7280,2.0,0,4,7,1988
2014-09-29,285000.0,3,1.0,1120,10701,1.0,0,3,7,1954
2014-08-14,415000.0,2,1.0,1070,4500,1.0,0,3,7,1937
2015-04-09,272500.0,3,2.5,2070,9900,1.0,0,3,8,1979
2015-05-04,2900000.0,4,3.25,5050,20100,1.5,2,3,11,1982
2014-10-07,1365000.0,4,4.75,5310,57346,2.0,0,4,11,1989
2015-05-01,436000.0,2,1.0,1040,7538,1.0,0,4,7,1939
2014-10-17,210000.0,3,1.0,1700,11390,1.0,0,4,7,1967
2014-09-25,236000.0,3,1.0,1300,5898,1.0,0,3,7,1961
2014-11-24,331000.0,3,1.75,1080,1306,1.0,0,3,7,1954
2015-03-20,365000.0,3,2.5,2653,4510,2.0,0,3,8,2006
2015-01-27,450000.0,3,2.0,2290,16258,1.0,0,5,8,1960
2014-11-13,770000.0,4,2.75,3820,26300,2.0,0,3,9,2014
2015-05-05,455000.0,4,2.5,2210,49375,1.0,0,3,8,1997
2015-05-05,405000.0,3,1.75,2390,6000,1.0,0,3,6,1908
2014-07-03,304900.0,4,1.75,2600,11325,1.0,0,4,7,1969
2015-02-27,170000.0,2,1.0,860,5265,1.0,0,3,6,1931
2015-05-13,2050000.0,5,3.0,3830,8480,2.0,1,5,9,1905
2014-06-30,780000.0,4,2.5,3500,7048,2.0,0,3,9,2005
2015-04-10,330000.0,3,3.0,2420,13959,1.0,0,4,8,1988
2014-09-05,370000.0,4,2.5,2720,8666,2.0,0,3,9,1992
2014-10-17,467000.0,5,2.25,2500,13500,1.0,0,3,7,1979
2015-02-09,405000.0,3,1.75,1670,6720,1.0,0,3,7,1980
2014-07-02,675000.0,5,2.25,2900,10300,1.0,0,3,8,1985
2014-08-12,500000.0,2,1.0,1640,14100,1.0,0,4,7,1954
2014-07-23,389999.0,4,2.5,1890,15770,2.0,0,4,7,1968
2015-02-24,630000.0,4,1.75,2950,9025,1.0,2,4,8,1975
2014-10-22,360000.0,4,2.5,2160,9528,2.0,0,3,9,1992
2014-10-02,580000.0,4,3.0,3280,11060,2.0,0,3,8,1986
2014-07-09,550000.0,3,2.0,1970,4166,2.0,3,5,8,1929
2014-07-10,879000.0,4,2.5,3360,22111,2.0,0,3,10,1994
2014-08-22,265000.0,3,2.0,1320,8959,1.0,0,3,7,1993
2015-03-04,446500.0,3,2.5,2650,7286,2.0,0,3,8,1990
2014-06-02,404000.0,3,1.5,2030,8880,1.0,0,3,7,1963
2014-05-29,267500.0,3,1.75,1590,11914,1.0,2,3,7,1957
2014-08-11,335000.0,3,2.5,2440,7632,2.0,0,3,8,1998
2014-06-19,576000.0,3,2.5,1940,9000,1.0,0,4,7,1948
2015-04-01,208633.0,3,2.5,2040,3810,2.0,0,3,8,2006
2015-01-15,315000.0,3,2.25,2200,8750,1.0,0,4,7,1964
